customer_id,age,tenure_months,monthly_charges,contract,churn
cust-0,26,55,74.06,one-year,0
cust-1,59,42,116.33,month-to-month,1
cust-2,41,57,59.13,two-year,0
cust-3,24,4,61.77,month-to-month,1
cust-4,63,19,25.66,one-year,1
cust-5,53,3,63.57,two-year,0
cust-6,62,66,82.73,month-to-month,1
cust-7,26,37,20.09,one-year,1
cust-8,28,2,115.80,one-year,1
cust-9,64,24,95.26,month-to-month,0
cust-10,73,10,47.85,one-year,0
cust-11,44,26,96.22,month-to-month,0
cust-12,55,41,65.05,two-year,0
cust-13,31,11,53.66,one-year,0
cust-14,23,7,97.57,month-to-month,0
cust-15,57,42,44.93,one-year,0
cust-16,59,59,39.06,two-year,0
cust-17,55,44,75.68,month-to-month,1
cust-18,48,12,74.57,two-year,0
cust-19,50,11,37.08,two-year,0
cust-20,22,27,84.10,one-year,1
cust-21,69,7,109.76,one-year,0
cust-22,44,28,73.08,month-to-month,0
cust-23,23,31,91.45,one-year,0
cust-24,50,35,51.97,month-to-month,0
cust-25,21,15,104.60,two-year,0
cust-26,62,17,50.83,month-to-month,1
cust-27,36,21,118.06,two-year,0
cust-28,55,56,86.83,two-year,0
cust-29,57,29,77.89,one-year,0
cust-30,48,26,48.72,two-year,1
cust-31,23,29,67.23,month-to-month,0
cust-32,53,20,56.71,month-to-month,1
cust-33,58,44,27.79,month-to-month,1
cust-34,22,29,87.65,one-year,0
cust-35,27,45,77.03,two-year,0
cust-36,52,66,108.90,one-year,1
cust-37,76,60,93.72,two-year,0
cust-38,53,11,80.48,two-year,0
cust-39,24,47,80.28,month-to-month,0
cust-40,33,29,109.29,two-year,0
cust-41,51,36,26.17,one-year,0
cust-42,56,24,73.96,month-to-month,1
cust-43,39,70,53.66,month-to-month,0
cust-44,35,38,49.85,one-year,0
cust-45,57,46,20.10,month-to-month,0
cust-46,38,25,109.38,one-year,0
cust-47,25,35,80.46,one-year,0
cust-48,63,57,98.59,one-year,0
cust-49,30,33,80.82,one-year,0
